,SA2 code,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2026 Population,2031 Population,2036 Population,2023 Population,2024 Population,2025 Population,SA2 name
332,211051281,23395,23571,23822,23888,23447,24390.77294921875,23919.299999999996,24129.799999999996,24340.299999999996,24633.73681640625,24876.70068359375,25119.66455078125,Mooroolbark
333,211051282,10079,10066,10042,9940,9771,10057.849263139207,9460.200000000012,9089.200000000012,8718.200000000012,10077.062791489108,10096.276319839017,10115.489848188918,Mount Dandenong - Olinda
334,211051283,10096,10077,10047,9933,9863,10159.012930575293,9576.200000000012,9271.200000000012,8966.200000000012,10201.253089488644,10243.493248401996,10285.733407315347,Mount Evelyn
335,211051284,10032,10016,9986,9938,9848,10000.392129794036,9651.800000000003,9428.800000000003,9205.800000000003,10010.378675426138,10020.36522105824,10030.351766690343,Upwey - Tecoma
336,211051285,7935,8003,7987,7982,7959,8128.8529607599485,7992.1,8005.6,8019.1,8178.545306581451,8228.237652402939,8277.929998224441,Wandin - Seville
337,211051286,16717,16849,16944,16984,16948,16992.027112926124,17306.300000000003,17604.800000000003,17903.300000000003,17032.72860144412,17073.430089962116,17114.13157848011,Yarra Valley
338,212011289,18677,18759,18821,18808,18797,19131.34228515625,18974.699999999997,19119.199999999997,19263.699999999997,19246.575846354186,19361.809407552093,19477.04296875,Emerald - Cockatoo
339,212011546,15465,17721,20228,22335,23947,26412.60000000056,35043.800000000745,45832.800000000745,56621.800000000745,28570.400000001304,30728.200000001118,32886.00000000093,Beaconsfield - Officer
340,212011547,8894,9114,9392,9687,9939,10204.09999999986,11269.29999999993,12600.79999999993,13932.29999999993,10470.399999999907,10736.699999999953,11002.999999999884,Bunyip - Garfield
341,212011548,8038,8292,8741,9364,10148,10504.199999999953,12621.000000000233,15267.000000000233,17913.000000000233,11033.399999999907,11562.600000000093,12091.800000000047,Koo Wee Rup
342,212011549,14957,15307,15525,15598,15615,15882.5,16525.29999999999,17328.79999999999,18132.29999999999,16043.199999999953,16203.899999999965,16364.599999999977,Pakenham - North East
343,212011550,5558,6033,6578,7115,7563,8097.0,10133.800000000047,12679.800000000047,15225.800000000047,8606.199999999953,9115.400000000023,9624.599999999977,Pakenham - North West
344,212011551,5146,5447,5792,6204,6491,6850.099999999977,8228.900000000023,9952.400000000023,11675.900000000023,7194.800000000047,7539.5,7884.199999999953,Pakenham - South East
345,212011552,25624,26325,26935,27347,27169,27913.599999999977,29558.400000000023,31614.400000000023,33670.40000000002,28324.800000000047,28736.0,29147.199999999953,Pakenham - South West
346,212021293,23901,23835,23858,23682,23187,24249.917249644874,22585.899999999965,21795.399999999965,21004.899999999965,24416.30493607954,24582.69262251415,24749.080308948818,Berwick - North
347,212021295,12091,12252,12335,12498,12061,12868.717804509914,12377.600000000006,12470.600000000006,12563.600000000006,13072.738942649157,13276.760080788343,13480.781218927528,Doveton
348,212021297,11512,11690,11902,11956,11603,12190.7406427557,12046.199999999997,12270.199999999997,12494.199999999997,12345.267470111256,12499.79429746687,12654.321124822483,Hallam
349,212021299,8275,8367,8376,8356,8310,8706.90589932527,8378.1,8407.6,8437.1,8818.583297821955,8930.26069631864,9041.938094815327,Narre Warren North
350,212021453,12523,12560,12538,12442,12191,12530.351495916191,11903.399999999994,11512.399999999994,11121.399999999994,12554.835752544983,12579.320009173767,12603.804265802559,Endeavour Hills - North
351,212021454,14121,14050,13977,13828,13464,13947.946950461646,12812.799999999988,12044.799999999988,11276.799999999988,13960.003312914298,13972.059675366949,13984.1160378196,Endeavour Hills - South
352,212021455,14006,14020,13998,13871,13620,14193.975359552569,13258.300000000017,12797.800000000017,12337.300000000017,14279.569179095648,14365.162998638727,14450.756818181835,Narre Warren - North East
353,212021456,14765,14941,15085,15153,14905,15462.688516512746,15314.200000000012,15560.200000000012,15806.200000000012,15616.502210582374,15770.315904651943,15924.12959872157,Narre Warren - South West
354,212021553,17457,17677,17835,17893,17980,18147.0,18651.79999999999,19282.79999999999,19913.79999999999,18273.20000000001,18399.399999999994,18525.600000000006,Berwick - South East
355,212021554,10127,10543,10905,11179,11359,11752.599999999977,12992.599999999977,14542.599999999977,16092.599999999977,12062.599999999977,12372.599999999977,12682.599999999977,Berwick - South West
356,212031300,21197,21397,21493,21642,21580,22257.47713068186,22169.49999999997,22674.99999999997,23180.49999999997,22525.94224668562,22794.40736268938,23062.872478693258,Cranbourne
357,212031303,9568,10703,12840,15345,17613,20278.995578834787,27726.199999999255,38092.199999999255,48458.199999999255,22672.09585700743,25065.19613518007,27458.29641335178,Cranbourne South
358,212031304,17148,18606,19757,20823,21834,21582.679678622168,27745.900000000373,33540.40000000037,39334.90000000037,22195.94807646773,22809.21647431329,23422.484872159082,Cranbourne West
359,212031306,16660,17217,17612,18092,18270,18336.17892400571,20436.699999999953,22484.199999999953,24531.699999999953,18578.02774029359,18819.87655658147,19061.725372869347,Lynbrook - Lyndhurst
360,212031308,8086,8140,8151,8128,8082,8316.531609552549,8103.400000000001,8093.400000000001,8083.400000000001,8379.011268939386,8441.490928326224,8503.970587713062,Pearcedale - Tooradin
361,212031457,13728,13694,13595,13396,13266,13709.647394353698,12680.399999999994,12069.399999999994,11458.399999999994,13758.309141216858,13806.970888080017,13855.632634943177,Narre Warren South - East
362,212031458,17643,17617,17522,17334,16932,17645.209446022724,16216.099999999977,15363.599999999977,14511.099999999977,17712.194978101325,17779.180510179925,17846.166042258526,Narre Warren South - West
363,212031555,4280,5677,7487,9196,10642,12329.30000000028,18826.5,26948.0,35069.5,13953.600000000093,15577.899999999907,17202.200000000186,Clyde North - North
364,212031556,1288,4166,7990,11876,15023,18622.599999999627,32694.599999999627,50284.59999999963,67874.59999999963,22140.599999999627,25658.599999999627,29176.599999999627,Clyde North - South
365,212031557,20718,21730,22764,23326,23753,24758.0,27824.399999999907,31657.399999999907,35490.39999999991,25524.600000000093,26291.199999999953,27057.800000000047,Cranbourne East - North
366,212031558,6281,8060,9680,11091,12432,14108.69999999972,20241.899999999907,27908.399999999907,35574.89999999991,15641.999999999534,17175.299999999814,18708.599999999627,Cranbourne East - South
367,212031559,9931,11039,11967,12637,12920,13971.59999999986,17002.0,20790.0,24578.0,14729.199999999953,15486.800000000047,16244.399999999907,Cranbourne North - East
368,212031560,12384,12442,12415,12310,12042,12073.799999999988,11747.400000000023,11339.400000000023,10931.400000000023,11992.200000000012,11910.600000000006,11829.0,Cranbourne North - West
