,name,coordinates,nearestSchool,nearestSchool_distance,Y,X,School_Name,real_distance,real_duration
4108,119-121 Palmerston Street Carlton VIC 3053,"[-37.7965569, 144.9711271]",Carlton Primary School,0.1218,-37.7956,144.97045,Carlton Primary School,0.2,0.4
4109,20/75 Drummond Street Carlton VIC 3053,"[-37.8047911, 144.9673359]",Carlton Gardens Primary School,0.3595,-37.80205,144.96951,Carlton Gardens Primary School,0.5,0.8
4110,409/518 Swanston Street Carlton VIC 3053,"[-37.8048062, 144.9634826]",Carlton Gardens Primary School,0.6127,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.8
4111,124 Rathdowne Street Carlton VIC 3053,"[-37.796727, 144.970899]",Carlton Primary School,0.1312,-37.7956,144.97045,Carlton Primary School,0.3,0.5
4112,409/42-50 Barry Street Carlton VIC 3053,"[-37.8029857, 144.9600238]",St Joseph's Flexible Learning Centre Melbourne,0.4576,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.6,1.5
4113,106 Keppel Street Carlton VIC 3053,"[-37.794322, 144.9659591]",Carlton Primary School,0.4202,-37.7956,144.97045,Carlton Primary School,0.9,2.0
4114,10/404 Cardigan Street Carlton VIC 3053,"[-37.7946872, 144.9668196]",Carlton Primary School,0.3354,-37.7956,144.97045,Carlton Primary School,0.9,1.7
4115,32/221 Cardigan Street Carlton VIC 3053,"[-37.8014693, 144.9650688]",Carlton Gardens Primary School,0.3964,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.6
4116,40 Dorrit Street Carlton VIC 3053,"[-37.7996228, 144.9665104]",Carlton Gardens Primary School,0.3773,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.8
4117,49 Macarthur Place Carlton VIC 3053,"[-37.7982701, 144.9706465]",Carlton Primary School,0.2969,-37.7956,144.97045,Carlton Primary School,0.3,0.6
4118,106 Palmerston Street Carlton VIC 3053,"[-37.796214, 144.971611]",Carlton Primary School,0.1229,-37.7956,144.97045,Carlton Primary School,0.3,0.8
4119,21/117 Bouverie Street Carlton VIC 3053,"[-37.803766, 144.961625]",St Joseph's Flexible Learning Centre Melbourne,0.5888,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.7,1.6
4120,301/488 SWANSTON STREET Carlton VIC 3053,"[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4121,813/9 Earl Street Carlton VIC 3053,"[-37.8061615, 144.965462]",Carlton Gardens Primary School,0.5791,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.3
4122,1/125 Bouverie Street Carlton VIC 3053,"[-37.8036076, 144.9616683]",St Joseph's Flexible Learning Centre Melbourne,0.5931,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.8,1.9
4123,52/121 Rathdowne St Carlton VIC 3053,"[-37.8042272, 144.9690866]",Carlton Gardens Primary School,0.2445,-37.80205,144.96951,Carlton Gardens Primary School,0.2,0.4
4124,102/127 Leicester Street Carlton VIC 3053,"[-37.80288, 144.9602773]",St Joseph's Flexible Learning Centre Melbourne,0.482,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.7,1.8
4125,G06/525 Rathdowne Street Carlton VIC 3053,"[-37.7930931, 144.9709328]",Carlton Primary School,0.2815,-37.7956,144.97045,Carlton Primary School,0.7,1.6
4126,205/255 Cardigan Street Carlton VIC 3053,"[-37.8007316, 144.9651636]",Carlton Gardens Primary School,0.4098,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.4
4127,3519/478 Swanston Street Carlton VIC 3053,"[-37.8055054, 144.9633599]",Carlton Gardens Primary School,0.6637,-37.80205,144.96951,Carlton Gardens Primary School,1.2,1.9
4128,"Level 8, 805/145 Queensberry Street Carlton VIC 3053","[-37.80491809999999, 144.9639338]",Carlton Gardens Primary School,0.5852,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.5
4129,909/488 Swanston Street Carlton VIC 3053,"[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4130,2120/551 Swanston Street Carlton VIC 3053,"[-37.8056839, 144.9627442]",River Nile School,0.6763,-37.80519,144.95509,River Nile School,1.0,2.0
4131,28 Bouverie Street Carlton VIC 3053,"[-37.8057895, 144.96181669999999]",River Nile School,0.5961,-37.80519,144.95509,River Nile School,0.9,2.4
4132,107/950 Swanston Street Carlton VIC 3053,"[-37.7937817, 144.9654428]",Carlton Primary School,0.485,-37.7956,144.97045,Carlton Primary School,1.1,2.2
4133,6317/570 Lygon Street Carlton VIC 3053,"[-37.7931559, 144.9694316]",Carlton Primary School,0.2857,-37.7956,144.97045,Carlton Primary School,1.2,1.9
4134,1204/139-145 Queensberry Street Carlton VIC 3053,"[-37.8048317, 144.9639135]",Carlton Gardens Primary School,0.5816,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.4
4135,1908/570 Lygon Street Carlton VIC 3053,"[-37.7935594, 144.9690564]",Carlton Primary School,0.2576,-37.7956,144.97045,Carlton Primary School,1.0,1.6
4136,13/117-121 Bouverie Street Carlton VIC 3053,"[-37.8037616, 144.9615789]",St Joseph's Flexible Learning Centre Melbourne,0.5847,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.7,1.7
4137,1007/131 Pelham Street Carlton VIC 3053,"[-37.8027019, 144.9638613]",Carlton Gardens Primary School,0.5027,-37.80205,144.96951,Carlton Gardens Primary School,1.1,1.6
4138,705/127 Leicester Street Carlton VIC 3053,"[-37.80288, 144.9602773]",St Joseph's Flexible Learning Centre Melbourne,0.482,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.7,1.8
4139,20/100 Queensberry Street Carlton VIC 3053,"[-37.804528, 144.9657009]",Carlton Gardens Primary School,0.4338,-37.80205,144.96951,Carlton Gardens Primary School,0.7,1.1
4140,Car Space/6 Leicester Street Carlton VIC 3053,"[-37.802927, 144.9606235]",St Joseph's Flexible Learning Centre Melbourne,0.5107,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.6,1.6
4141,139 Bouverie Street Carlton VIC 3053,"[-37.8032277, 144.9616568]",St Joseph's Flexible Learning Centre Melbourne,0.5954,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.8,1.9
4142,11/230 Elgin Street Carlton VIC 3053,"[-37.7968411, 144.9666084]",Carlton Primary School,0.3653,-37.7956,144.97045,Carlton Primary School,0.6,1.1
4143,42 Dorrit Street Carlton VIC 3053,"[-37.7996228, 144.9665109]",Carlton Gardens Primary School,0.3773,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.8
4144,25/26 Little Cardigan Street Carlton VIC 3053,"[-37.8040783, 144.9654614]",Carlton Gardens Primary School,0.4217,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.3
4145,4/22 Grattan Street Carlton VIC 3053,"[-37.8007553, 144.9689546]",Carlton Gardens Primary School,0.1518,-37.80205,144.96951,Carlton Gardens Primary School,0.6,1.1
4146,4605/160 Victoria Street Carlton VIC 3053,"[-37.8060742, 144.9618361]",River Nile School,0.6021,-37.80519,144.95509,River Nile School,0.9,2.3
4147,131 Pelham Street Carlton VIC 3053,"[-37.8027009, 144.9638527]",Carlton Gardens Primary School,0.5034,-37.80205,144.96951,Carlton Gardens Primary School,1.1,1.6
4148,235 Elgin Street Carlton VIC 3053,"[-37.797261, 144.966529]",Carlton Primary School,0.3915,-37.7956,144.97045,Carlton Primary School,0.8,1.7
4149,264 Cardigan Street Carlton VIC 3053,"[-37.7988277, 144.9660145]",Carlton Gardens Primary School,0.4719,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.9
4150,58/39 Rathdowne Street Carlton VIC 3053,"[-37.806054, 144.9677919]",Carlton Gardens Primary School,0.4695,-37.80205,144.96951,Carlton Gardens Primary School,0.6,1.2
4151,1201/28 Bouverie Street Carlton VIC 3053,"[-37.8057895, 144.96181669999999]",River Nile School,0.5961,-37.80519,144.95509,River Nile School,0.9,2.4
4152,5405/570 Lygon Street Carlton VIC 3053,"[-37.7931164, 144.9689953]",Carlton Primary School,0.304,-37.7956,144.97045,Carlton Primary School,1.0,1.5
4153,403/488 Swanston Street Carlton VIC 3053,"[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4154,1001/123 Pelham Street Carlton VIC 3053,"[-37.8027986, 144.9644247]",Carlton Gardens Primary School,0.4555,-37.80205,144.96951,Carlton Gardens Primary School,1.1,1.7
4155,802/613 Swanston Street Carlton VIC 3053,"[-37.8040243, 144.9630838]",Carlton Gardens Primary School,0.6069,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.3
4156,Unit 1208/6 Leicester St Carlton VIC 3053,"[-37.8059562, 144.9602155]",River Nile School,0.4593,-37.80519,144.95509,River Nile School,0.8,1.9
4157,1716/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4158,505/488 Swanston Street Carlton VIC 3053,"[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4159,2004/28 Bouverie Street Carlton VIC 3053,"[-37.8057895, 144.96181669999999]",River Nile School,0.5961,-37.80519,144.95509,River Nile School,0.9,2.4
4160,509/6 Leicester Street Carlton VIC 3053,"[-37.8059562, 144.9602155]",River Nile School,0.4593,-37.80519,144.95509,River Nile School,0.8,1.9
4161,1103/131 Pelham Street Carlton VIC 3053,"[-37.8027019, 144.9638613]",Carlton Gardens Primary School,0.5027,-37.80205,144.96951,Carlton Gardens Primary School,1.1,1.6
4162,1207/131 Pelham Street Carlton VIC 3053,"[-37.8027019, 144.9638613]",Carlton Gardens Primary School,0.5027,-37.80205,144.96951,Carlton Gardens Primary School,1.1,1.6
4163,313/570 Swanston Street Carlton VIC 3053,"[-37.8032867, 144.96398]",Carlton Gardens Primary School,0.506,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.8
4164,250 Drummond Street Carlton VIC 3053,"[-37.8001977, 144.968831]",Carlton Gardens Primary School,0.2141,-37.80205,144.96951,Carlton Gardens Primary School,0.6,1.2
4165,802/570 Swanston Carlton VIC 3053,"[-37.8032867, 144.96398]",Carlton Gardens Primary School,0.506,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.8
4166,708/9 Earl Carlton VIC 3053,"[-37.8061615, 144.965462]",Carlton Gardens Primary School,0.5791,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.3
4167,519/570 Swanston Street Carlton VIC 3053,"[-37.8032867, 144.96398]",Carlton Gardens Primary School,0.506,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.8
4168,5/1 Owen Street Carlton VIC 3053,"[-37.8007517, 144.9741835]",Academy of Mary Immaculate,0.329,-37.80371,144.97441,Academy of Mary Immaculate,1.0,1.6
4169,318 Cardigan Street Carlton VIC 3053,"[-37.797374, 144.966264]",Carlton Primary School,0.418,-37.7956,144.97045,Carlton Primary School,0.8,1.7
4170,36/75 Drummond Street Carlton VIC 3053,"[-37.8047911, 144.9673359]",Carlton Gardens Primary School,0.3595,-37.80205,144.96951,Carlton Gardens Primary School,0.5,0.8
4171,39 Kay Street Carlton VIC 3053,"[-37.7954781, 144.973693]",Carlton Primary School,0.286,-37.7956,144.97045,Carlton Primary School,0.5,1.4
4172,8/41 Dorrit Street Carlton VIC 3053,"[-37.799528, 144.966015]",Carlton Gardens Primary School,0.4161,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.7
4173,3219/160 victoria street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4174,5315/570 Lygon Street Carlton VIC 3053,"[-37.7931164, 144.9689953]",Carlton Primary School,0.304,-37.7956,144.97045,Carlton Primary School,1.0,1.5
4175,118/131 Pelham Street Carlton VIC 3053,"[-37.8027019, 144.9638613]",Carlton Gardens Primary School,0.5027,-37.80205,144.96951,Carlton Gardens Primary School,1.1,1.6
4176,609/668 Swanston Street Carlton VIC 3053,"[-37.800922, 144.96415]",Carlton Gardens Primary School,0.4884,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.7
4177,105/466 Swanston Street Carlton VIC 3053,"[-37.8059838, 144.9632701]",Carlton Gardens Primary School,0.7019,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.0
4178,4117/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4179,1017/555 Swanston Street Carlton VIC 3053,"[-37.8057226, 144.9628069]",River Nile School,0.6821,-37.80519,144.95509,River Nile School,1.0,2.0
4180,13/14-22 Waterloo Street Carlton VIC 3053,"[-37.7951615, 144.9672094]",Carlton Primary School,0.2895,-37.7956,144.97045,Carlton Primary School,0.7,1.3
4181,3609/478 Swanston Street Carlton VIC 3053,"[-37.8055054, 144.9633599]",Carlton Gardens Primary School,0.6637,-37.80205,144.96951,Carlton Gardens Primary School,1.2,1.9
4182,66 Kay Street Carlton VIC 3053,"[-37.794944, 144.972736]",Carlton Primary School,0.2141,-37.7956,144.97045,Carlton Primary School,0.5,1.3
4183,10/127 Grattan Street Carlton VIC 3053,"[-37.8007184, 144.9647306]",Carlton Gardens Primary School,0.4461,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.6
4184,408/528 Swanston Street Carlton VIC 3053,"[-37.8042164, 144.9636059]",Carlton Gardens Primary School,0.5729,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.4
4185,3/247-249 Cardigan Street Carlton VIC 3053,"[-37.80094190000001, 144.9651284]",Carlton Gardens Primary School,0.405,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.5
4186,5/13-29 University Street Carlton VIC 3053,"[-37.7996797, 144.9692907]",Carlton Gardens Primary School,0.2638,-37.80205,144.96951,Carlton Gardens Primary School,0.6,1.4
4187,2213/551 Swanston Street Carlton VIC 3053,"[-37.8056839, 144.9627442]",River Nile School,0.6763,-37.80519,144.95509,River Nile School,1.0,2.0
4188,"Level 1, 3119/488 Swanston Street Carlton VIC 3053","[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4189,916/570 Swanston Street Carlton VIC 3053,"[-37.8032867, 144.96398]",Carlton Gardens Primary School,0.506,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.8
4190,1512/555 Swanston Street Carlton VIC 3053,"[-37.8057226, 144.9628069]",River Nile School,0.6821,-37.80519,144.95509,River Nile School,1.0,2.0
4191,11/257-261 Nicholson Street Carlton VIC 3053,"[-37.7940191, 144.9752691]",Carlton North Primary School,0.3831,-37.79106,144.97303,Carlton North Primary School,0.9,2.1
4192,8/254 Cardigan Street Carlton VIC 3053,"[-37.7990627, 144.966113]",Carlton Gardens Primary School,0.4466,-37.80205,144.96951,Carlton Gardens Primary School,0.9,2.2
4193,13/404 Cardigan Street Carlton VIC 3053,"[-37.7946872, 144.9668196]",Carlton Primary School,0.3354,-37.7956,144.97045,Carlton Primary School,0.9,1.7
4194,105/488 SWANSTON STREET Carlton VIC 3053,"[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4195,22 Orr Street Carlton VIC 3053,"[-37.8061867, 144.9653325]",Carlton Gardens Primary School,0.5884,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.4
4196,409 Lygon Street Carlton VIC 3053,"[-37.7949483, 144.9676693]",Carlton Primary School,0.2554,-37.7956,144.97045,Carlton Primary School,1.0,1.4
4197,16 David Street Carlton VIC 3053,"[-37.7970303, 144.9720417]",Carlton Primary School,0.2118,-37.7956,144.97045,Carlton Primary School,0.3,0.8
4198,160 Victoria street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4199,905/570 Swanston Street Carlton VIC 3053,"[-37.8032867, 144.96398]",Carlton Gardens Primary School,0.506,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.8
4200,504/73-81 Cardigan Street Carlton VIC 3053,"[-37.8051106, 144.9644056]",Carlton Gardens Primary School,0.5634,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.2
4201,275 Rathdowne Street Carlton VIC 3053,"[-37.800255, 144.969766]",Carlton Gardens Primary School,0.2005,-37.80205,144.96951,Carlton Gardens Primary School,0.6,1.3
4202,304N/515-545 Rathdowne Street Carlton VIC 3053,"[-37.7929934, 144.9710148]",Carlton North Primary School,0.2785,-37.79106,144.97303,Carlton North Primary School,0.5,1.2
4203,403 Rathdowne Street Carlton VIC 3053,"[-37.796876, 144.9703369]",Carlton Primary School,0.142,-37.7956,144.97045,Carlton Primary School,0.3,0.6
4204,540a Drummond Street Carlton VIC 3053,"[-37.7926469, 144.9700908]",Carlton North Primary School,0.3131,-37.79106,144.97303,Carlton North Primary School,0.7,2.0
4205,520/488 Swanston Street Carlton VIC 3053,"[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4206,127 Drummond Street Carlton VIC 3053,"[-37.80358, 144.967673]",Carlton Gardens Primary School,0.2345,-37.80205,144.96951,Carlton Gardens Primary School,0.3,1.0
4207,8/53 Dorrit Street Carlton VIC 3053,"[-37.7992936, 144.9660802]",Carlton Gardens Primary School,0.4299,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.7
4208,104/20 Reeves St Carlton VIC 3053,"[-37.7930959, 144.9705197]",Carlton Primary School,0.278,-37.7956,144.97045,Carlton Primary School,0.8,1.9
4209,21/422 Cardigan Street Carlton VIC 3053,"[-37.7942659, 144.9668155]",Carlton Primary School,0.3527,-37.7956,144.97045,Carlton Primary School,0.9,1.9
4210,9 Earl Street Carlton VIC 3053,"[-37.8061615, 144.965462]",Carlton Gardens Primary School,0.5791,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.3
4211,508/28-44 Bouverie Street Carlton VIC 3053,"[-37.8058125, 144.961855]",River Nile School,0.5997,-37.80519,144.95509,River Nile School,0.9,2.4
4212,255 Cardigan Street Carlton VIC 3053,"[-37.8007316, 144.9651636]",Carlton Gardens Primary School,0.4098,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.4
4213,24 Barkly Place Carlton VIC 3053,"[-37.8029857, 144.9614047]",St Joseph's Flexible Learning Centre Melbourne,0.5772,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.8,2.1
4214,50 Barry Street Carlton VIC 3053,"[-37.8029857, 144.9600238]",St Joseph's Flexible Learning Centre Melbourne,0.4576,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.6,1.5
4215,127 Leicester Street Carlton VIC 3053,"[-37.80288, 144.9602773]",St Joseph's Flexible Learning Centre Melbourne,0.482,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.7,1.8
4216,3118/488 Swanston Street Carlton VIC 3053,"[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4217,507/495 Rathdowne Street Carlton VIC 3053,"[-37.7941063, 144.9707208]",Carlton Primary School,0.1675,-37.7956,144.97045,Carlton Primary School,0.5,1.2
4218,1103/28 Bourverie Street Carlton VIC 3053,"[-37.8057895, 144.96181669999999]",River Nile School,0.5961,-37.80519,144.95509,River Nile School,0.9,2.4
4219,Carlton VIC 3053,"[-37.798389, 144.9694441]",Carlton Primary School,0.322,-37.7956,144.97045,Carlton Primary School,0.5,0.9
4220,1015/6 Leicester Street Carlton VIC 3053,"[-37.8059562, 144.9602155]",River Nile School,0.4593,-37.80519,144.95509,River Nile School,0.8,1.9
4221,405D/604 Swanston Street Carlton VIC 3053,"[-37.8021917, 144.96398]",Carlton Gardens Primary School,0.4873,-37.80205,144.96951,Carlton Gardens Primary School,1.1,1.6
4222,4016/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4223,404/77 Cardigan Street Carlton VIC 3053,"[-37.8051106, 144.9644056]",Carlton Gardens Primary School,0.5634,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.2
4224,unit 503/466 Swanston Street Carlton VIC 3053,"[-37.8059838, 144.9632701]",Carlton Gardens Primary School,0.7019,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.0
4225,510/551 Swanston Street Carlton VIC 3053,"[-37.8056839, 144.9627442]",River Nile School,0.6763,-37.80519,144.95509,River Nile School,1.0,2.0
4226,4103/160 Victoria St Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4227,Drummond street Carlton VIC 3053,"[-37.7988884, 144.9688269]",Carlton Gardens Primary School,0.356,-37.80205,144.96951,Carlton Gardens Primary School,0.8,1.6
4228,209/495 Rathdowne Street Carlton VIC 3053,"[-37.7941063, 144.9707208]",Carlton Primary School,0.1675,-37.7956,144.97045,Carlton Primary School,0.5,1.2
4229,307/106-112 Queensberry Street Carlton VIC 3053,"[-37.8046015, 144.9654545]",Carlton Gardens Primary School,0.4558,-37.80205,144.96951,Carlton Gardens Primary School,0.7,1.1
4230,5115/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4231,1106/551 Swanston Street Carlton VIC 3053,"[-37.8056839, 144.9627442]",River Nile School,0.6763,-37.80519,144.95509,River Nile School,1.0,2.0
4232,6/117-121 Bouverie Street Carlton VIC 3053,"[-37.8037616, 144.9615789]",St Joseph's Flexible Learning Centre Melbourne,0.5847,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,0.7,1.7
4233,208/51-67 Rathdowne Street Carlton VIC 3053,"[-37.8059343, 144.96879]",Carlton Gardens Primary School,0.4358,-37.80205,144.96951,Carlton Gardens Primary School,0.4,0.7
4234,408/81 Cemetery Road East Carlton VIC 3053,"[-37.7934845, 144.9661004]",Carlton Primary School,0.4493,-37.7956,144.97045,Carlton Primary School,1.2,2.1
4235,4/108 Keppel Street Carlton VIC 3053,"[-37.7944792, 144.9655899]",Carlton Primary School,0.4458,-37.7956,144.97045,Carlton Primary School,0.9,1.9
4236,3/36 Drummond Street Carlton VIC 3053,"[-37.79791489999999, 144.9692129]",Carlton Primary School,0.2791,-37.7956,144.97045,Carlton Primary School,0.6,1.0
4237,761/488 Swanston Street Carlton VIC 3053,"[-37.8055641, 144.9633777]",Carlton Gardens Primary School,0.6662,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.1
4238,912/570 Swanston Street Carlton VIC 3053,"[-37.8032867, 144.96398]",Carlton Gardens Primary School,0.506,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.8
4239,32 Trades Hall Place Carlton VIC 3053,"[-37.8061708, 144.966904]",Carlton Gardens Primary School,0.5117,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.9
4240,5109/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4241,613/613 Swanston Street Carlton VIC 3053,"[-37.8040243, 144.9630838]",Carlton Gardens Primary School,0.6069,-37.80205,144.96951,Carlton Gardens Primary School,1.2,2.3
4242,558 Swanston St Carlton VIC 3053,"[-37.8035215, 144.9637109]",Carlton Gardens Primary School,0.5362,-37.80205,144.96951,Carlton Gardens Primary School,1.0,1.4
4243,2008/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4244,1414/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4245,1816/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4246,716/528 Swanston Street Carlton VIC 3053,"[-37.8041359, 144.9635318]",Carlton Gardens Primary School,0.5751,-37.80205,144.96951,Carlton Gardens Primary School,0.9,1.4
4247,1612/160 Victoria Street Carlton VIC 3053,"[-37.8062149, 144.9618804]",River Nile School,0.6087,-37.80519,144.95509,River Nile School,0.9,1.9
4248,3209/160 Victoria Street Carlton VIC 3053,"[-37.8061768, 144.9617429]",River Nile School,0.596,-37.80519,144.95509,River Nile School,0.9,2.0
4249,"4/19 McIlwriath St, Carlton VIC 3053","[-37.7847181, 144.967826]",Princes Hill Secondary College,0.282,-37.78348,144.96503,Princes Hill Secondary College,0.6,1.4
4250,2207/551 Swanston Street Carlton VIC 3053,"[-37.8056733, 144.9623021]",River Nile School,0.6374,-37.80519,144.95509,River Nile School,1.0,2.0
4251,4912/160 Victoria St Carlton VIC 3053,"[-37.8061768, 144.9617429]",River Nile School,0.596,-37.80519,144.95509,River Nile School,0.9,2.0
4252,488 Swanston Street Carlton VIC 3053,"[-37.8057568, 144.9632356]",Carlton Gardens Primary School,0.6889,-37.80205,144.96951,Carlton Gardens Primary School,1.2,1.9
4253,18 Drummond Street Carlton VIC 3053,"[-37.8065906, 144.9677446]",Carlton Gardens Primary School,0.5274,-37.80205,144.96951,Carlton Gardens Primary School,0.7,1.4
4254,465/488 Swanston Street Carlton VIC 3053,"[-37.8057568, 144.9632356]",Carlton Gardens Primary School,0.6889,-37.80205,144.96951,Carlton Gardens Primary School,1.2,1.9
4255,345 Station Street Carlton North VIC 3054,"[-37.7886748, 144.9751882]",Carlton North Primary School,0.3259,-37.79106,144.97303,Carlton North Primary School,0.5,2.1
4256,46 Princes St Carlton North VIC 3054,"[-37.7926524, 144.9740802]",Carlton North Primary School,0.1995,-37.79106,144.97303,Carlton North Primary School,0.5,1.6
4257,4/867-883 Drummond Street Carlton North VIC 3054,"[-37.7839389, 144.9710273]",Princes Hill Primary School,0.4699,-37.7804,144.9681,Princes Hill Primary School,0.6,1.5
4258,461 Canning Street Carlton North VIC 3054,"[-37.7855695, 144.9746181]",Fitzroy Community School,0.6073,-37.78917,144.97981,Fitzroy Community School,1.3,2.9
4259,818 Drummond Street Carlton North VIC 3054,"[-37.785385, 144.971317]",Princes Hill Secondary College,0.5928,-37.78348,144.96503,Princes Hill Secondary College,1.0,2.2
4260,465 Station Street Carlton North VIC 3054,"[-37.78562420000001, 144.9756938]",Fitzroy Community School,0.5351,-37.78917,144.97981,Fitzroy Community School,1.1,1.9
4261,690 Canning Street Carlton North VIC 3054,"[-37.7804667, 144.9761779]",Brunswick South Primary School,0.3757,-37.7787,144.97254,Brunswick South Primary School,0.5,1.2
4262,287 Richardson Street Carlton North VIC 3054,"[-37.78412, 144.9657762]",Princes Hill Secondary College,0.0968,-37.78348,144.96503,Princes Hill Secondary College,0.3,0.8
4263,8/491 Nicholson Street Carlton North VIC 3054,"[-37.787867, 144.976431]",Fitzroy Community School,0.3309,-37.78917,144.97981,Fitzroy Community School,1.2,1.6
4264,147 Pigdon Street Carlton North VIC 3054,"[-37.7822945, 144.97223]",Brunswick South Primary School,0.3999,-37.7787,144.97254,Brunswick South Primary School,0.8,1.6
4265,786 Drummond Street Carlton North VIC 3054,"[-37.7861574, 144.9712404]",Carlton North Primary School,0.5665,-37.79106,144.97303,Carlton North Primary School,1.1,2.6
4266,5/26 Garton Street Princes Hill VIC 3054,"[-37.7843225, 144.9640876]",Princes Hill Secondary College,0.125,-37.78348,144.96503,Princes Hill Secondary College,0.4,1.2
