,name,coordinates,real_station_distance,real_station_duration,nearestSchool,nearestSchool_distance,School_Y,School_X,School_Name,real_school_distance,real_school_duration
915,1/96 Wimble Street Seymour VIC 3660,"[-37.0254, 145.149454]",78.2,57.8,Seymour College,0.8903,-37.02984,145.14112,Seymour College,1.8,3.4
916,70 Anzac Avenue Seymour VIC 3660,"[-37.0287753, 145.1428906]",77.2,56.3,Seymour College,0.1969,-37.02984,145.14112,Seymour College,0.8,1.9
917,126 Anzac Avenue Seymour VIC 3660,"[-37.0310441, 145.1466588]",77.5,56.9,Seymour College,0.5106,-37.02984,145.14112,Seymour College,1.2,2.5
918,40 Goulburn Street Seymour VIC 3660,"[-37.03022260000001, 145.137775]",77.1,57.5,Seymour College,0.3006,-37.02984,145.14112,Seymour College,0.5,1.7
919,44 Delma Crescent Seymour VIC 3660,"[-37.0345945, 145.1576814]",79.2,60.8,Seymour College,1.5652,-37.02984,145.14112,Seymour College,2.8,6.5
920,157 High Street Seymour VIC 3660,"[-37.0182913, 145.1451929]",77.0,56.1,St Mary's College,0.4201,-37.0199,145.14092,St Mary's College,0.4,0.6
921,39 Morison Crescent Seymour VIC 3660,"[-37.0339044, 145.1447509]",78.1,58.9,Seymour College,0.5548,-37.02984,145.14112,Seymour College,0.7,2.6
922,4 Monash Drive Seymour VIC 3660,"[-37.0338374, 145.1506467]",78.1,58.1,Seymour College,0.9567,-37.02984,145.14112,Seymour College,1.7,3.8
923,38 Cecil Street Benalla VIC 3672,"[-36.5592175, 145.9763913]",189.4,127.8,FCJ College,0.7211,-36.55277,145.97539,FCJ College,0.9,1.6
924,15 Carlyle Street Benalla VIC 3672,"[-36.5631449, 145.9781322]",190.1,129.1,FCJ College,1.1772,-36.55277,145.97539,FCJ College,1.6,2.9
925,7 Ironbark Drive Benalla VIC 3672,"[-36.5582091, 146.0006589]",191.4,131.1,Australian Christian College Hume,1.2026,-36.54745,145.99905,Australian Christian College Hume,1.7,3.6
926,14B Purcell St Benalla VIC 3672,"[-36.5566188, 145.973497]",188.6,127.4,FCJ College,0.4595,-36.55277,145.97539,FCJ College,0.8,1.8
927,126-128 Faithful Street Benalla VIC 3672,"[-36.5421505, 145.9661596]",189.0,127.5,Benalla P-12 College,1.2621,-36.55337,145.96385,Benalla P-12 College,1.3,1.9
