,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
337,6003/462 Elizabeth Street Melbourne VIC 3000,"[-37.807859, 144.960611]",River Nile School,0.5693,Melbourne Central Railway Station (Melbourne City),0.2864,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
338,CP2008/11 Rose Lane Melbourne VIC 3000,"[-37.8152243, 144.9541663]",Hester Hornbrook Academy,0.2277,Flagstaff Railway Station (Melbourne City),0.3825,-37.81654,144.95615,Hester Hornbrook Academy,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
339,4/15-19 Anthony Street Melbourne VIC 3000,"[-37.809144, 144.958903]",River Nile School,0.5526,Melbourne Central Railway Station (Melbourne City),0.3362,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
340,33/140 Flinders Street Melbourne VIC 3000,"[-37.816398, 144.9703476]",Stott's College,0.5395,Flinders Street Railway Station (Melbourne City),0.3626,-37.81154,144.97056,Stott's College,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
341,3811/639 Lonsdale Street Melbourne VIC 3000,"[-37.8148924, 144.9536021]",Ozford College,0.2336,Flagstaff Railway Station (Melbourne City),0.3704,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
342,812/29-31 Market Street Melbourne VIC 3000,"[-37.818629, 144.9604091]",Hester Hornbrook Academy,0.4409,Flinders Street Railway Station (Melbourne City),0.5815,-37.81654,144.95615,Hester Hornbrook Academy,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
343,SHOP 101R/228 A'BECKETT STREET Melbourne VIC 3000,"[-37.8103101, 144.9566423]",Ozford College,0.3468,Flagstaff Railway Station (Melbourne City),0.2051,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
344,1102/25 Therry Street Melbourne VIC 3000,"[-37.8069431, 144.9610712]",River Nile School,0.5615,Melbourne Central Railway Station (Melbourne City),0.3547,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
345,504/38 Rose Lane Melbourne VIC 3000,"[-37.8148892, 144.9542038]",Ozford College,0.2227,Flagstaff Railway Station (Melbourne City),0.3467,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
346,24/300 King St Melbourne VIC 3000,"[-37.8131524, 144.9547736]",Ozford College,0.0426,Flagstaff Railway Station (Melbourne City),0.1517,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
347,309/29 Market Street Melbourne VIC 3000,"[-37.8186835, 144.9603997]",Hester Hornbrook Academy,0.4434,Flinders Street Railway Station (Melbourne City),0.5827,-37.81654,144.95615,Hester Hornbrook Academy,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
348,Melbourne VIC 3000,"[-37.8152065, 144.963937]",Hester Hornbrook Academy,0.7015,Flinders Street Railway Station (Melbourne City),0.4366,-37.81654,144.95615,Hester Hornbrook Academy,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
349,807/601 Little Collins St Melbourne VIC 3000,"[-37.8180264, 144.9549093]",Hester Hornbrook Academy,0.1979,Southern Cross Railway Station (Melbourne City),0.3093,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
350,134/546 Flinders Street Melbourne VIC 3000,"[-37.8205058, 144.9561717]",Hester Hornbrook Academy,0.4402,Southern Cross Railway Station (Melbourne City),0.5101,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
351,UPGRADE PREMIER Melbourne VIC 3000,"[-37.8152065, 144.963937]",Hester Hornbrook Academy,0.7015,Flinders Street Railway Station (Melbourne City),0.4366,-37.81654,144.95615,Hester Hornbrook Academy,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
352,705/422 Collins Street Melbourne VIC 3000,"[-37.817008, 144.960108]",Hester Hornbrook Academy,0.3524,Flinders Street Railway Station (Melbourne City),0.6236,-37.81654,144.95615,Hester Hornbrook Academy,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
353,708/228 A'BECKETT STREET Melbourne VIC 3000,"[-37.8101911, 144.9566043]",Ozford College,0.356,Flagstaff Railway Station (Melbourne City),0.216,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
354,803/199 William Street Melbourne VIC 3000,"[-37.8145838, 144.9572687]",Hester Hornbrook Academy,0.2384,Flagstaff Railway Station (Melbourne City),0.3183,-37.81654,144.95615,Hester Hornbrook Academy,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
355,4501/483 Swanston Street Melbourne VIC 3000,"[-37.8072179, 144.9623358]",River Nile School,0.6766,Melbourne Central Railway Station (Melbourne City),0.2986,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
356,612/181 ABeckett Street Melbourne VIC 3000,"[-37.8101786, 144.9582146]",Ozford College,0.4497,Flagstaff Railway Station (Melbourne City),0.2998,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
357,325 Collins Street Melbourne VIC 3000,"[-37.8166442, 144.9635498]",Hester Hornbrook Academy,0.6517,Flinders Street Railway Station (Melbourne City),0.3551,-37.81654,144.95615,Hester Hornbrook Academy,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
358,3802/618 Lonsdale Street Melbourne VIC 3000,"[-37.8143198, 144.9539133]",Ozford College,0.1649,Flagstaff Railway Station (Melbourne City),0.3017,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
359,1302a/565 flinders st Melbourne VIC 3000,"[-37.8210378, 144.955808]",Hester Hornbrook Academy,0.5001,Southern Cross Railway Station (Melbourne City),0.5215,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
360,555 Flinders St Melbourne VIC 3000,"[-37.820969, 144.9564872]",Hester Hornbrook Academy,0.4925,Southern Cross Railway Station (Melbourne City),0.5627,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
361,Level51/135 A'beckett Street Melbourne VIC 3000,"[-37.8096952, 144.9595078]",Ozford College,0.5714,Melbourne Central Railway Station (Melbourne City),0.2732,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
362,1802/8 Exploration Lane Melbourne VIC 3000,"[-37.8091129, 144.9684545]",Stott's College,0.327,Parliament Railway Station (Melbourne City),0.4493,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
363,503/668 Bourke Street Melbourne VIC 3000,"[-37.8166152, 144.9542789]",Hester Hornbrook Academy,0.165,Southern Cross Railway Station (Melbourne City),0.2908,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
