,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
440,231/299 Queen Street Melbourne VIC 3000,"[-37.8114187, 144.9587916]",Ozford College,0.4182,Flagstaff Railway Station (Melbourne City),0.2798,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
441,2612/500 Elizabeth Street Melbourne VIC 3000,"[-37.8072443, 144.9602814]",River Nile School,0.5109,Melbourne Central Railway Station (Melbourne City),0.3586,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
442,81 Abeckett Street Melbourne VIC 3000,"[-37.8092252, 144.9613779]",River Nile School,0.7122,Melbourne Central Railway Station (Melbourne City),0.1311,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
443,CP1507/442 Elizabeth Street Melbourne VIC 3000,"[-37.8090217, 144.9608512]",River Nile School,0.662,Melbourne Central Railway Station (Melbourne City),0.1823,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
444,Carpark2608/135 A'Beckett street Melbourne VIC 3000,"[-37.809678, 144.9593125]",Ozford College,0.5592,Melbourne Central Railway Station (Melbourne City),0.2905,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
445,514/199 William Street Melbourne VIC 3000,"[-37.81456, 144.9574098]",Hester Hornbrook Academy,0.2462,Flagstaff Railway Station (Melbourne City),0.3216,-37.81654,144.95615,Hester Hornbrook Academy,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
446,327 La Trobe Street Melbourne VIC 3000,"[-37.8109622, 144.959802]",Ozford College,0.52,Melbourne Central Railway Station (Melbourne City),0.2731,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
447,2701/138 Spencer Street Melbourne VIC 3000,"[-37.817416, 144.9536403]",Hester Hornbrook Academy,0.2414,Southern Cross Railway Station (Melbourne City),0.2044,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
448,4803/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,Southern Cross Railway Station (Melbourne City),0.3593,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
449,1716/135 A'Beckett Street Melbourne VIC 3000,"[-37.8097879, 144.9596466]",Ozford College,0.5748,Melbourne Central Railway Station (Melbourne City),0.2604,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
450,1610/157 A'Beckett Street Melbourne VIC 3000,"[-37.8099156, 144.9591846]",Ozford College,0.5339,Melbourne Central Railway Station (Melbourne City),0.3008,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
451,3716/228 La Trobe Street Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,Melbourne Central Railway Station (Melbourne City),0.0165,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
452,5403/442 Elizabeth Street Melbourne VIC 3000,"[-37.8082901, 144.9608496]",River Nile School,0.6129,Melbourne Central Railway Station (Melbourne City),0.236,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
453,unit 1701/141-149 La Trobe Street Melbourne VIC 3000,"[-37.8087593, 144.9674745]",Stott's College,0.4112,Melbourne Central Railway Station (Melbourne City),0.4475,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
454,710/555 Flinders Melbourne VIC 3000,"[-37.8209711, 144.9564827]",Hester Hornbrook Academy,0.4927,Southern Cross Railway Station (Melbourne City),0.5626,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
455,1603/464 Collins Street Melbourne VIC 3000,"[-37.8175602, 144.9585916]",Hester Hornbrook Academy,0.243,Southern Cross Railway Station (Melbourne City),0.6343,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
456,2705B/639 Little Lonsdale Street Melbourne VIC 3000,"[-37.8141942, 144.9521662]",Ozford College,0.2456,Flagstaff Railway Station (Melbourne City),0.3951,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
457,1605B/639 Little Lonsdale Street Melbourne VIC 3000,"[-37.8141942, 144.9521662]",Ozford College,0.2456,Flagstaff Railway Station (Melbourne City),0.3951,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
458,1605/318 Queen Street Melbourne VIC 3000,"[-37.8112667, 144.9592612]",Ozford College,0.4628,Flagstaff Railway Station (Melbourne City),0.324,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
459,1704/318 Queen Street Melbourne VIC 3000,"[-37.8112667, 144.9592612]",Ozford College,0.4628,Flagstaff Railway Station (Melbourne City),0.324,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
460,1007/27 Therry Street Melbourne VIC 3000,"[-37.8069882, 144.9610136]",River Nile School,0.5585,Melbourne Central Railway Station (Melbourne City),0.3521,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
461,2307/60 A'Beckett Street Melbourne VIC 3000,"[-37.8087388, 144.9614417]",River Nile School,0.6841,Melbourne Central Railway Station (Melbourne City),0.1644,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
462,6207/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,Southern Cross Railway Station (Melbourne City),0.3593,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
463,1610/199 William Street Melbourne VIC 3000,"[-37.8145042, 144.9576035]",Hester Hornbrook Academy,0.2597,Flagstaff Railway Station (Melbourne City),0.3246,-37.81654,144.95615,Hester Hornbrook Academy,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
464,3705/462 Elizabeth Street Melbourne VIC 3000,"[-37.807859, 144.960611]",River Nile School,0.5693,Melbourne Central Railway Station (Melbourne City),0.2864,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
465,8101/228 Latrobe Street Melbourne VIC 3000,"[-37.8097688, 144.9624585]",Stott's College,0.74,Melbourne Central Railway Station (Melbourne City),0.0192,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
466,3403/371 Little Lonsdale Street Melbourne VIC 3000,"[-37.8117708, 144.9609302]",Ozford College,0.5866,Melbourne Central Railway Station (Melbourne City),0.2544,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
467,5403/135 A'Beckett Street Melbourne VIC 3000,"[-37.8097879, 144.9596466]",Ozford College,0.5748,Melbourne Central Railway Station (Melbourne City),0.2604,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
468,2802/160 Spencer Street Melbourne VIC 3000,"[-37.8172652, 144.953648]",Hester Hornbrook Academy,0.2345,Southern Cross Railway Station (Melbourne City),0.2101,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
469,406/393 Spencer Street Melbourne VIC 3000,"[-37.8113249, 144.950247]",Ozford College,0.4065,Flagstaff Railway Station (Melbourne City),0.486,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
470,7910/228 La Trobe Street Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,Melbourne Central Railway Station (Melbourne City),0.0165,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
471,3804/639 Lonsdale Street Melbourne VIC 3000,"[-37.8150689, 144.9534096]",Ozford College,0.2577,Southern Cross Railway Station (Melbourne City),0.3606,-37.81289,144.95442,Ozford College,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
472,2405/466 Collins st Melbourne VIC 3000,"[-37.81755500000001, 144.958633]",Hester Hornbrook Academy,0.2459,Southern Cross Railway Station (Melbourne City),0.638,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
473,3303/462 Elizabeth Street Melbourne VIC 3000,"[-37.807859, 144.960611]",River Nile School,0.5693,Melbourne Central Railway Station (Melbourne City),0.2864,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
474,2010/442 Elizabeth Street Melbourne VIC 3000,"[-37.8082901, 144.9608496]",River Nile School,0.6129,Melbourne Central Railway Station (Melbourne City),0.236,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
475,3604/36 La Trobe Street Melbourne VIC 3000,"[-37.8081637, 144.967594]",Stott's College,0.4568,Melbourne Central Railway Station (Melbourne City),0.4801,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
476,3003/228 La Trobe Street Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,Melbourne Central Railway Station (Melbourne City),0.0165,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
477,3304/442 Elizabeth Street Melbourne VIC 3000,"[-37.8082901, 144.9608496]",River Nile School,0.6129,Melbourne Central Railway Station (Melbourne City),0.236,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
478,2402/250 Elizabeth St Melbourne VIC 3000,"[-37.812564, 144.9628184]",Stott's College,0.6911,Melbourne Central Railway Station (Melbourne City),0.2963,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
479,305/441 Lonsdale Street Melbourne VIC 3000,"[-37.8134292, 144.9594445]",Ozford College,0.4465,Flagstaff Railway Station (Melbourne City),0.3659,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
480,1903/285 La Trobe Street Melbourne VIC 3000,"[-37.8107078, 144.9608101]",Ozford College,0.6126,Melbourne Central Railway Station (Melbourne City),0.1813,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
481,1406/462 Elizabeth Street Melbourne VIC 3000,"[-37.807859, 144.960611]",River Nile School,0.5693,Melbourne Central Railway Station (Melbourne City),0.2864,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
482,2304/33 Mackenzie Street Melbourne VIC 3000,"[-37.80772140000001, 144.966885]",Stott's College,0.5333,Melbourne Central Railway Station (Melbourne City),0.4482,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
483,428/118 Franklin Street Melbourne VIC 3000,"[-37.8082052, 144.9589035]",River Nile School,0.4741,Melbourne Central Railway Station (Melbourne City),0.376,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
